MANAGER,FUND,CIK Number,CIK_FINAL,MANAGER_LOWER
Bill Ackman,Pershing Square Capital Management,1336528,0001336528,bill ackman
Louis Bacon ,Moore Capital Management,1448574,0001448574,louis bacon 
Bruce Berkowitz ,Fairholme Capital Management,1056831,0001056831,bruce berkowitz 
Warren Buffett,Berkshire Hathaway,1067983,0001067983,warren buffett
Steven Cohen,Point72 Asset Management,1461642,0001461642,steven cohen
Chase Coleman,Tiger Global Management,1167483,0001167483,chase coleman
Leon Cooperman,Cooperman Leon G,898382,0000898382,leon cooperman
Ray Dalio,Bridgewater Associates,1350694,0001350694,ray dalio
David Einhorn,_Greenlight Capital,1079114,0001079114,david einhorn
Jeremy Grantham,Grantham Mayo Van Otterloo,225608,0000225608,jeremy grantham
Joel Greenblatt,Gotham Asset Management,1510387,0001510387,joel greenblatt
Ken Griffin,Citadel Advisors,1576996,0001576996,ken griffin
Andreas Halvorsen,Viking Global Investors,1103804,0001103804,andreas halvorsen
Carl Icahn,Icahn Carl C,921669,0000921669,carl icahn
Seth Klarman,Baupost Group,1061768,0001061768,seth klarman
Daniel Loeb,Third Point,1040273,0001040273,daniel loeb
Howard Marks,Oaktree Capital Management,949509,0000949509,howard marks
Victor Mashaal,_Senvest Management,1069673,0001069673,victor mashaal
John Paulson,_Paulson & CO.,1035674,0001035674,john paulson
Nelson Peltz,Trian Fund Management,1345472,0001345472,nelson peltz
Larry Robbins,Glenview Capital Management,1138995,0001138995,larry robbins
Barry Rosenstein,Jana Partners,1159159,0001159159,barry rosenstein
Jim Simons,_Renaissance Technologies,1037389,0001037389,jim simons
Paul Singer,Elliott Management Corp,1048445,0001048445,paul singer
George Soros,Soros Fund Management,1029160,0001029160,george soros
Prem Watsa,Fairfax Financial Holdings,915191,0000915191,prem watsa
¾Laurence Fink,BlackRock,1364742,0001364742,¾laurence fink